"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
129.0,8.719857159166269E-5,3.977046713520874E-5,,,,1.5173991273720018E-4,1.118467743297584E-4,4.501295666944695E-5,1.8490176559445318E-5,6.095387857735965E-6
130.0,8.63749543875886E-5,3.9431308245087355E-5,,,,1.5083858779286433E-4,1.1125601833836404E-4,4.480097321268095E-5,1.8407611908343496E-5,6.068234230258617E-6
131.0,8.554952763265423E-5,3.906678124514739E-5,,,,1.499512636251421E-4,1.1066783128903053E-4,4.458841084305586E-5,1.8325037995003348E-5,6.041997612459833E-6
132.0,8.474015551174907E-5,3.873331775658861E-5,,,,1.4906114132514427E-4,1.1008274147171525E-4,4.437776326041814E-5,1.8242915708922913E-5,6.014909394538753E-6
133.0,8.393034491078238E-5,3.837507608853986E-5,,,,1.4818420815327225E-4,1.0949970588797834E-4,4.416619432406664E-5,1.8160574115869678E-5,5.988698117466894E-6
134.0,8.313533483926631E-5,3.804704954132377E-5,,,,1.473046618089826E-4,1.0891942066813075E-4,4.3957043512978275E-5,1.807892390077381E-5,5.961766603231966E-6
135.0,8.234017128761455E-5,3.769663033820957E-5,,,,1.464373258658204E-4,1.0834100290993187E-4,4.374692742999488E-5,1.7996956014456786E-5,5.935689958655879E-6
136.0,8.155921602218642E-5,3.737453823001298E-5,,,,1.4556978790987142E-4,1.077658334500444E-4,4.353904666731004E-5,1.7915708786540453E-5,5.908826973601438E-6
137.0,8.077905050604618E-5,3.7029850941284505E-5,,,,1.4471543101835622E-4,1.0719306412555902E-4,4.3330118564219634E-5,1.7834334342703526E-5,5.882825066890472E-6
138.0,8.001282592948793E-5,3.671490578906619E-5,,,,1.4385907488161613E-4,1.066231665081952E-4,4.312376019398043E-5,1.775394898637249E-5,5.856278874326705E-6
